Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Human immunodeficiency virus 1		isolate: 00TH.R1741	11676	ASM310051v1	GCA_003100515.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8395	8395	2005-05-03	9		
Human immunodeficiency virus 1		isolate: KNH1254	11676	ASM310053v1	GCA_003100535.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8865	8865	2005-05-03	9		
Human immunodeficiency virus 1		isolate: CB134	11676	ASM310058v1	GCA_003100585.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	8944	8944	2008-01-02	9		
Human immunodeficiency virus 1		isolate: BREPM11948	11676	ASM310060v1	GCA_003100605.1	GenBank	Annotation submitted by Retrovirology Laboratory, Federal University of Sao Paulo	Complete Genome	8890	8890	2005-08-03	9		
Human immunodeficiency virus 1		isolate: BREPM12313	11676	ASM310063v1	GCA_003100635.1	GenBank	Annotation submitted by Retrovirology Laboratory, Federal University of Sao Paulo	Complete Genome	8902	8902	2005-08-03	9		
Human immunodeficiency virus 1		isolate: BREPM12609	11676	ASM310065v1	GCA_003100655.1	GenBank	Annotation submitted by Retrovirology Laboratory, Federal University of Sao Paulo	Complete Genome	8886	8886	2005-08-03	9		
Human immunodeficiency virus 1		isolate: BREPM12817	11676	ASM310067v1	GCA_003100675.1	GenBank	Annotation submitted by Retrovirology Laboratory, Federal University of Sao Paulo	Complete Genome	8890	8890	2005-08-03	9		
Human immunodeficiency virus 1		isolate: BREPM16704	11676	ASM310069v1	GCA_003100695.1	GenBank	Annotation submitted by Retrovirology Laboratory, Federal University of Sao Paulo	Complete Genome	8979	8979	2005-08-03	9		
Human immunodeficiency virus 1		isolate: EST2002-1169	11676	ASM310071v1	GCA_003100715.1	GenBank	Annotation submitted by FIT Biotech Eesti Filiaal	Complete Genome	8404	8404	2005-09-01	9		
Human immunodeficiency virus 1		isolate: 99GEMZ011	11676	ASM310073v1	GCA_003100735.1	GenBank	Annotation submitted by U.S. Military HIV Research Program, Walter Reed Army Institute of Research	Complete Genome	8792	8792	2005-10-26	9		
Human immunodeficiency virus 1		isolate: M043	11676	ASM310075v1	GCA_003100755.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8796	8796	2006-02-06	9		
Human immunodeficiency virus 1		isolate: 01BR087	11676	ASM310077v1	GCA_003100775.1	GenBank	Annotation submitted by Molecular Biology, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	9006	9006	2006-02-01	9		
Human immunodeficiency virus 1		isolate: 02BR033	11676	ASM310079v1	GCA_003100795.1	GenBank	Annotation submitted by Molecular Biology, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	8875	8875	2006-02-01	9		
Human immunodeficiency virus 1		isolate: 05MYKL007.1	11676	ASM310081v1	GCA_003100815.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	9081	9081	2006-02-02	9		
Human immunodeficiency virus 1		isolate: 05MYKL015.2	11676	ASM310083v1	GCA_003100835.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	9062	9062	2006-02-02	9		
Human immunodeficiency virus 1		isolate: 05MYKL031.1	11676	ASM310085v1	GCA_003100855.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	9129	9129	2006-02-02	9		
Human immunodeficiency virus 1		isolate: 05MYKL045.1	11676	ASM310087v1	GCA_003100875.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	9153	9153	2006-02-02	9		
Human immunodeficiency virus 1		isolate: 04MYKL016.1	11676	ASM310089v1	GCA_003100895.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	8899	8899	2006-02-02	9		
Human immunodeficiency virus 1		isolate: 03MYKL018.1	11676	ASM310091v1	GCA_003100915.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	8925	8925	2006-02-02	9		
Human immunodeficiency virus 1		isolate: 04RU001	11676	ASM310095v1	GCA_003100955.1	GenBank	Annotation submitted by INSDC submitter	Complete Genome	9224	9224	2006-03-02	9		
Human immunodeficiency virus 1		isolate: PS1044_Day0	11676	ASM310097v1	GCA_003100975.1	GenBank	Annotation submitted by Partners AIDS Research Center, Massachusetts General Hospital, Harvard Medical School	Complete Genome	8667	8667	2006-08-17	9		
Human immunodeficiency virus 1		isolate: 101BA	11676	ASM310099v1	GCA_003100995.1	GenBank	Annotation submitted by Department of Epidemiology and Prevention, Institute of Human Virology	Complete Genome	8882	8882	2006-07-28	9		
Human immunodeficiency virus 1		isolate: 02CM-A1394	11676	ASM310103v1	GCA_003101035.1	GenBank	Annotation submitted by 09NG, Abbott Laboratories	Complete Genome	9124	9124	2006-08-25	9		
Human immunodeficiency virus 1		isolate: 15384.1	11676	ASM310105v1	GCA_003101055.1	GenBank	Annotation submitted by Microbiology, University of Washington	Complete Genome	9210	9210	2006-09-19	9		
Human immunodeficiency virus 1		isolate: 00CMNYU830	11676	ASM310107v1	GCA_003101075.1	GenBank	Annotation submitted by Microbiology and Pathology, New York University School of Medicine	Complete Genome	8410	8410	2007-03-02	7		
Human immunodeficiency virus 1		isolate: 00CMNYU1162	11676	ASM310109v1	GCA_003101095.1	GenBank	Annotation submitted by Microbiology and Pathology, New York University School of Medicine	Complete Genome	8412	8412	2007-03-02	7		
Human immunodeficiency virus 1		isolate: 110PA	11676	ASM310111v1	GCA_003101115.1	GenBank	Annotation submitted by Genetics, Universidade Federal do Rio de Janeiro	Chromosome	8494	8908	2006-12-12	9		
Human immunodeficiency virus 1		isolate: 00CMNYU926	11676	ASM310113v1	GCA_003101135.1	GenBank	Annotation submitted by Pathology, NYU	Complete Genome	8396	8396	2007-03-16	7		
Human immunodeficiency virus 1		isolate: 05AF094	11676	ASM310115v1	GCA_003101155.1	GenBank	Annotation submitted by US Military HIV Research Program, Walter Reed Army Institute of Research/Henry M. Jackson Foundation	Complete Genome	8775	8775	2007-03-06	9		
Human immunodeficiency virus 1		isolate: 05AF095	11676	ASM310117v1	GCA_003101175.1	GenBank	Annotation submitted by US Military HIV Research Program, Walter Reed Army Institute of Research/Henry M. Jackson Foundation	Complete Genome	8703	8703	2007-03-06	9		
Human immunodeficiency virus 1		isolate: 05AF104	11676	ASM310119v1	GCA_003101195.1	GenBank	Annotation submitted by US Military HIV Research Program, Walter Reed Army Institute of Research/Henry M. Jackson Foundation	Complete Genome	8730	8730	2007-03-06	9		
Human immunodeficiency virus 1		isolate: 05AF026	11676	ASM310121v1	GCA_003101215.1	GenBank	Annotation submitted by US Military HIV Research Program, Walter Reed Army Institute of Research/Henry M. Jackson Foundation	Complete Genome	8727	8727	2007-03-06	9		
Human immunodeficiency virus 1		isolate: OUR1969P	11676	ASM310123v1	GCA_003101235.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8668	8668	2007-03-29	9		
Human immunodeficiency virus 1		isolate: OUR2275P	11676	ASM310125v1	GCA_003101255.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8728	8728	2007-03-29	9		
Human immunodeficiency virus 1		isolate: OUR2478P	11676	ASM310127v1	GCA_003101275.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8650	8650	2007-03-29	9		
Human immunodeficiency virus 1		isolate: RU00051	11676	ASM310129v1	GCA_003101295.1	GenBank	Annotation submitted by Centro Nacional de Microbiologia, Instituto de Salud Carlos III	Complete Genome	8806	8806	2007-07-10	9		
Human immunodeficiency virus 1		isolate: 02KZPAV300497	11676	ASM310131v1	GCA_003101315.1	GenBank	Annotation submitted by Department of Epidemiology, Institute of Human Virology, University of Maryland, Baltimore	Complete Genome	8818	8818	2007-05-30	9		
Human immunodeficiency virus 1		isolate: J_97DC.KTB147	11676	ASM310133v1	GCA_003101335.1	GenBank	Annotation submitted by Laboratory Retrovirus, IRD	Complete Genome	8739	8739	2007-06-19	9		
Human immunodeficiency virus 1		isolate: 07MYKLD49	11676	ASM310135v1	GCA_003101355.1	GenBank	Annotation submitted by Centre for Virus Research, Westmead Millennium Institute	Complete Genome	8942	8942	2007-10-04	9		
Human immunodeficiency virus 1		isolate: luBF_13.05	11676	ASM310137v1	GCA_003101375.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Chromosome	6093	9055	2007-10-23	9		
Human immunodeficiency virus 1		isolate: luBF_21.06	11676	ASM310139v1	GCA_003101395.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Complete Genome	7479	7479	2007-10-23	8		
Human immunodeficiency virus 1		isolate: luBF_19.06	11676	ASM310141v1	GCA_003101415.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Complete Genome	8882	8882	2007-10-23	9		
Human immunodeficiency virus 1		isolate: luBF_18.06	11676	ASM310143v1	GCA_003101435.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Complete Genome	9122	9122	2007-10-23	9		
Human immunodeficiency virus 1		isolate: luBF_07.03	11676	ASM310145v1	GCA_003101455.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Complete Genome	8097	8097	2007-10-23	8		
Human immunodeficiency virus 1		isolate: luBF_20.06	11676	ASM310147v1	GCA_003101475.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Complete Genome	8503	8503	2007-10-23	9		
Human immunodeficiency virus 1		isolate: luBF_12.04	11676	ASM310149v1	GCA_003101495.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Complete Genome	9098	9098	2007-10-23	9		
Human immunodeficiency virus 1		isolate: luBF_05.03	11676	ASM310151v1	GCA_003101515.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Chromosome	6157	9063	2007-10-23	9		
Human immunodeficiency virus 1		strain: 04FR-AUK	11676	ASM310153v1	GCA_003101535.1	GenBank	Annotation submitted by Virology, CHU Necker	Complete Genome	9680	9680	2008-02-20	9		
Human immunodeficiency virus 1		isolate: AR02.ARG1139	11676	ASM310155v1	GCA_003101555.1	GenBank	Annotation submitted by Epidemiology, Institute of Human Virology	Complete Genome	8775	8775	2008-05-02	9		
Human immunodeficiency virus 1		isolate: AR02.ARG2233	11676	ASM310157v1	GCA_003101575.1	GenBank	Annotation submitted by Epidemiology, Institute of Human Virology	Complete Genome	8855	8855	2008-05-02	8		
Human immunodeficiency virus 1		isolate: BO02.BOL119	11676	ASM310159v1	GCA_003101595.1	GenBank	Annotation submitted by Epidemiology, Institute of Human Virology	Complete Genome	8795	8795	2008-05-02	9		
Human immunodeficiency virus 1		isolate: PE02.PCR0155	11676	ASM310161v1	GCA_003101615.1	GenBank	Annotation submitted by Epidemiology, Institute of Human Virology	Complete Genome	8818	8818	2008-05-02	9		
Human immunodeficiency virus 1		isolate: J11223	11676	ASM310163v1	GCA_003101635.1	GenBank	Annotation submitted by 09NG, Abbott Diagnostics	Complete Genome	9085	9085	2008-08-01	9		
Human immunodeficiency virus 1		isolate: J11232	11676	ASM310165v1	GCA_003101655.1	GenBank	Annotation submitted by 09NG, Abbott Diagnostics	Complete Genome	9093	9093	2008-08-01	9		
Human immunodeficiency virus 1		isolate: J11243	11676	ASM310167v1	GCA_003101675.1	GenBank	Annotation submitted by 09NG, Abbott Diagnostics	Complete Genome	9126	9126	2008-08-01	9		
Human immunodeficiency virus 1		isolate: 03BRRJ103	11676	ASM310169v1	GCA_003101695.1	GenBank	Annotation submitted by Oswaldo Cruz Foundation	Complete Genome	8861	8861	2008-06-23	9		
Human immunodeficiency virus 1		isolate: 04BRRJ179	11676	ASM310171v1	GCA_003101715.1	GenBank	Annotation submitted by Oswaldo Cruz Foundation	Complete Genome	9057	9057	2008-06-23	9		
Human immunodeficiency virus 1		isolate: 03BRRJ327	11676	ASM310173v1	GCA_003101735.1	GenBank	Annotation submitted by Oswaldo Cruz Foundation	Complete Genome	8959	8959	2008-06-23	9		
Human immunodeficiency virus 1		isolate: 05BRRJ055	11676	ASM310175v1	GCA_003101755.1	GenBank	Annotation submitted by Oswaldo Cruz Foundation	Complete Genome	9042	9042	2008-06-23	9		
Human immunodeficiency virus 1		isolate: 04BRRJ115	11676	ASM310177v1	GCA_003101775.1	GenBank	Annotation submitted by Oswaldo Cruz Foundation	Complete Genome	9123	9123	2008-06-23	9		
Human immunodeficiency virus 1		isolate: 05BRRJ200	11676	ASM310179v1	GCA_003101795.1	GenBank	Annotation submitted by Oswaldo Cruz Foundation	Complete Genome	9105	9105	2008-06-23	9		
Human immunodeficiency virus 1		isolate: 04BRSQ46	11676	ASM310181v1	GCA_003101815.1	GenBank	Annotation submitted by Oswaldo Cruz Foundation	Complete Genome	9079	9079	2008-06-23	9		
Human immunodeficiency virus 1		isolate: UY05_4752	11676	ASM310183v1	GCA_003101835.1	GenBank	Annotation submitted by Virologia Molecular, Centro Nacional de Microbiologia, Instituto de Salud Carlos III	Complete Genome	8944	8944	2008-10-08	9		
Human immunodeficiency virus 1		isolate: UY04_3987	11676	ASM310185v1	GCA_003101855.1	GenBank	Annotation submitted by Virologia Molecular, Centro Nacional de Microbiologia, Instituto de Salud Carlos III	Complete Genome	8932	8932	2008-10-08	9		
Human immunodeficiency virus 1		isolate: UY04_4022	11676	ASM310187v1	GCA_003101875.1	GenBank	Annotation submitted by Virologia Molecular, Centro Nacional de Microbiologia, Instituto de Salud Carlos III	Complete Genome	8955	8955	2008-10-08	9		
Human immunodeficiency virus 1		isolate: UY03_3389	11676	ASM310189v1	GCA_003101895.1	GenBank	Annotation submitted by Virologia Molecular, Centro Nacional de Microbiologia, Instituto de Salud Carlos III	Complete Genome	8935	8935	2008-10-08	9		
Human immunodeficiency virus 1		isolate: CH80	11676	ASM310191v1	GCA_003101915.1	GenBank	Annotation submitted by Centro Nacional de Microbiologia, Instituto de Salud Carlos III	Complete Genome	8858	8858	2009-03-13	9		
Human immunodeficiency virus 1		isolate: X2457-2	11676	ASM310201v1	GCA_003102015.1	GenBank	Annotation submitted by Viral Pathogenesis, CNM. Instituto de Salud Carlos III	Complete Genome	8997	8997	2009-11-06	9		
Human immunodeficiency virus 1		isolate: 07MYKT014	11676	ASM310203v1	GCA_003102035.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	8854	8854	2011-04-04	9		
Human immunodeficiency virus 1		isolate: 07MYKT016	11676	ASM310205v1	GCA_003102055.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	8893	8893	2011-04-04	9		
Human immunodeficiency virus 1		isolate: 07MYKT021	11676	ASM310207v1	GCA_003102075.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Epidemiology, AIDS Research Center, National Institute of Infectious Diseases	Complete Genome	8884	8884	2011-04-04	9		
Human immunodeficiency virus 1		isolate: RBF168	11676	ASM310209v1	GCA_003102095.1	GenBank	Annotation submitted by Virologie, University Hospital	Complete Genome	8654	8654	2009-07-21	9		
Human immunodeficiency virus 1		isolate: P1942	11676	ASM310211v1	GCA_003102115.1	GenBank	Annotation submitted by Unidad de Biologia y Variabilidad del VIH, C.N.M. Instituto de Salud Carlos III	Complete Genome	8926	8926	2010-01-15	9		
Human immunodeficiency virus 1		isolate: 01CM.1445MV	11676	ASM310213v1	GCA_003102135.1	GenBank	Annotation submitted by Division of Epidemiology and Preventive Medicine, Institute of Human Virology	Complete Genome	8832	8832	2009-12-30	9		
Human immunodeficiency virus 1		isolate: 07BR_FPS625	11676	ASM310215v1	GCA_003102155.1	GenBank	Annotation submitted by Molecular biology Laboratory, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	9209	9209	2010-04-29	9		
Human immunodeficiency virus 1		isolate: 07BR_FPS742	11676	ASM310217v1	GCA_003102175.1	GenBank	Annotation submitted by Molecular biology Laboratory, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	8925	8925	2010-04-29	9		
Human immunodeficiency virus 1		isolate: 07BR_FPS783	11676	ASM310219v1	GCA_003102195.1	GenBank	Annotation submitted by Molecular biology Laboratory, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	9070	9070	2010-04-29	9		
Human immunodeficiency virus 1		isolate: 07BR_FPS810	11676	ASM310221v1	GCA_003102215.1	GenBank	Annotation submitted by Molecular biology Laboratory, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	9151	9151	2010-04-29	9		
Human immunodeficiency virus 1		isolate: 07BR_FPS812	11676	ASM310223v1	GCA_003102235.1	GenBank	Annotation submitted by Molecular biology Laboratory, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	8995	8995	2010-04-29	9		
Human immunodeficiency virus 1		isolate: B	11676	ASM310225v1	GCA_003102255.1	GenBank	Annotation submitted by Department of AIDS Research, State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology	Complete Genome	8939	8939	2010-12-13	9		
Human immunodeficiency virus 1		isolate: N18380	11676	ASM310227v1	GCA_003102275.1	GenBank	Annotation submitted by Viral Diseases Programme, MRC Laboratories (UK) The Gambia	Complete Genome	8531	8531	2010-11-03	9		
Human immunodeficiency virus 1		isolate: N28353	11676	ASM310229v1	GCA_003102295.1	GenBank	Annotation submitted by Viral Diseases Programme, MRC Laboratories (UK) The Gambia	Complete Genome	8463	8463	2010-11-03	9		
Human immunodeficiency virus 1		isolate: N26677	11676	ASM310231v1	GCA_003102315.1	GenBank	Annotation submitted by Viral Diseases Programme, MRC Laboratories (UK) The Gambia	Complete Genome	8519	8519	2010-11-03	9		
Human immunodeficiency virus 1		isolate: 11SG.HM021	11676	ASM310241v1	GCA_003102415.1	GenBank	Annotation submitted by Epidemiology and Preventive Medicine, Institute of Human Virology, University of Maryland School of Medicine	Complete Genome	8807	8807	2011-08-26	9		
Human immunodeficiency virus 1		isolate: 11SG.HM062	11676	ASM310243v1	GCA_003102435.1	GenBank	Annotation submitted by Epidemiology and Preventive Medicine, Institute of Human Virology, University of Maryland School of Medicine	Complete Genome	8789	8789	2011-08-26	9		
Human immunodeficiency virus 1		isolate: 11SG.HM091	11676	ASM310245v1	GCA_003102455.1	GenBank	Annotation submitted by Epidemiology and Preventive Medicine, Institute of Human Virology, University of Maryland School of Medicine	Complete Genome	8819	8819	2011-08-26	9		
Human immunodeficiency virus 1		strain: 10RU6637	11676	ASM310247v1	GCA_003102475.1	GenBank	Annotation submitted by Department of Retroviruses, State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9187	9187	2011-12-05	9		
Human immunodeficiency virus 1		isolate: 8179	11676	ASM310249v1	GCA_003102495.1	GenBank	Annotation submitted by Infection and Immunity, UCL	Complete Genome	8939	8939	2011-10-07	9		
Human immunodeficiency virus 1		isolate: 40534	11676	ASM310251v1	GCA_003102515.1	GenBank	Annotation submitted by Infection and Immunity, UCL	Complete Genome	8790	8790	2011-10-07	9		
Human immunodeficiency virus 1		isolate: 33365	11676	ASM310253v1	GCA_003102535.1	GenBank	Annotation submitted by Infection and Immunity, UCL	Complete Genome	8931	8931	2011-10-07	9		
Human immunodeficiency virus 1		isolate: 12792	11676	ASM310255v1	GCA_003102555.1	GenBank	Annotation submitted by Infection and Immunity, UCL	Complete Genome	8978	8978	2011-10-07	9		
Human immunodeficiency virus 1		isolate: 11762	11676	ASM310257v1	GCA_003102575.1	GenBank	Annotation submitted by Infection and Immunity, UCL	Complete Genome	8932	8932	2011-10-07	9		
Human immunodeficiency virus 1		isolate: 11FIR164	11676	ASM310261v1	GCA_003102615.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8954	8954	2012-09-26	9		
Human immunodeficiency virus 1		isolate: 10MYKJ079	11676	ASM310263v1	GCA_003102635.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8599	8599	2012-09-26	9		
Human immunodeficiency virus 1		isolate: 10MYKJ067	11676	ASM310265v1	GCA_003102655.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8174	8174	2012-09-26	9		
Human immunodeficiency virus 1		isolate: 09MYSB023	11676	ASM310267v1	GCA_003102675.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	9069	9069	2012-09-26	9		
Human immunodeficiency virus 1		isolate: 08MYKL044	11676	ASM310269v1	GCA_003102695.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8159	8159	2012-09-26	8		
Human immunodeficiency virus 1		isolate: 11RU18n	11676	ASM310271v1	GCA_003102715.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9214	9214	2012-10-18	9		
Human immunodeficiency virus 1		isolate: 10RU5983	11676	ASM310273v1	GCA_003102735.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9199	9199	2012-10-18	9		
Human immunodeficiency virus 1		isolate: 10RU6649	11676	ASM310275v1	GCA_003102755.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9259	9259	2012-10-18	9		
Human immunodeficiency virus 1		isolate: 09RU4829	11676	ASM310277v1	GCA_003102775.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9244	9244	2012-10-18	9		
Human immunodeficiency virus 1		isolate: 10RU6366	11676	ASM310279v1	GCA_003102795.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9259	9259	2012-10-18	9		
Human immunodeficiency virus 1		isolate: 10RU6829	11676	ASM310281v1	GCA_003102815.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9262	9262	2012-10-18	9		
Human immunodeficiency virus 1		isolate: 12RU15r	11676	ASM310283v1	GCA_003102835.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9275	9275	2012-10-18	9		
Human immunodeficiency virus 1		isolate: HNCS102056	11676	ASM310285v1	GCA_003102855.1	GenBank	Annotation submitted by Key Laboratory of AIDS Immunology of Ministry of Health, Department of Laboratory Medicine, The First Affiliated Hospital of China Medical University	Complete Genome	8925	8925	2012-10-25	9		
Human immunodeficiency virus 1		isolate: GDDG318	11676	ASM310287v1	GCA_003102875.1	GenBank	Annotation submitted by Key Laboratory of AIDS Immunology of Ministry of Health, Department of Laboratory Medicine, The First Affiliated Hospital of China Medical University	Complete Genome	8950	8950	2012-10-25	9		
Human immunodeficiency virus 1		isolate: GDDG095	11676	ASM310289v1	GCA_003102895.1	GenBank	Annotation submitted by Key Laboratory of AIDS Immunology of Ministry of Health, Department of Laboratory Medicine, The First Affiliated Hospital of China Medical University	Complete Genome	8952	8952	2012-10-25	9		
Human immunodeficiency virus 1		isolate: 09LNA423	11676	ASM310293v1	GCA_003102935.1	GenBank	Annotation submitted by Department of Laboratory Medicine, Key Laboratory of AIDS Immunology of Ministry of Health	Complete Genome	8380	8380	2012-10-22	9		
Human immunodeficiency virus 1		isolate: ELI	11676	ASM310295v1	GCA_003102955.1	GenBank		Complete Genome	9176	9176	1993-08-02			
Human immunodeficiency virus 1		isolate: HXB2	11676	ASM310297v1	GCA_003102975.1	GenBank		Complete Genome	9719	9719	1993-08-02			
Human immunodeficiency virus 1		isolate: 2011.ANHUI.HF104	11676	ASM310299v1	GCA_003102995.1	GenBank	Annotation submitted by Institute of AIDS-STD Prevention and Control, Anhui Provincial Center for Disease Control and Prevention	Complete Genome	8930	8930	2013-02-14	9		
Human immunodeficiency virus 1		isolate: 2011.ANHUI.HF115	11676	ASM310301v1	GCA_003103015.1	GenBank	Annotation submitted by Institute of AIDS-STD Prevention and Control, Anhui Provincial Center for Disease Control and Prevention	Complete Genome	8918	8918	2013-02-14	9		
Human immunodeficiency virus 1		isolate: 2011.ANHUI.MAS59	11676	ASM310303v1	GCA_003103035.1	GenBank	Annotation submitted by Institute of AIDS-STD Prevention and Control, Anhui Provincial Center for Disease Control and Prevention	Complete Genome	8942	8942	2013-02-14	9		
Human immunodeficiency virus 1		isolate: 2011.ANHUI.WH73	11676	ASM310305v1	GCA_003103055.1	GenBank	Annotation submitted by Institute of AIDS-STD Prevention and Control, Anhui Provincial Center for Disease Control and Prevention	Complete Genome	8903	8903	2013-02-14	9		
Human immunodeficiency virus 1		isolate: 2011.ANHUI.XC46	11676	ASM310307v1	GCA_003103075.1	GenBank	Annotation submitted by Institute of AIDS-STD Prevention and Control, Anhui Provincial Center for Disease Control and Prevention	Complete Genome	8919	8919	2013-02-14	9		
Human immunodeficiency virus 1		isolate: 11LNSY300392	11676	ASM310309v1	GCA_003103095.1	GenBank	Annotation submitted by Department of Laboratory Medicine, The First Affiliated Hospital of China Medical University, Key Laboratory of AIDS Immunology of Ministry of Health	Complete Genome	8804	8804	2013-02-28	9		
Human immunodeficiency virus 1		isolate: 10LNSY300533	11676	ASM310311v1	GCA_003103115.1	GenBank	Annotation submitted by Department of Laboratory Medicine, The First Affiliated Hospital of China Medical University, Key Laboratory of AIDS Immunology of Ministry of Health	Complete Genome	8795	8795	2013-02-28	9		
Human immunodeficiency virus 1		isolate: 09MYPR37	11676	ASM310313v1	GCA_003103135.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8975	8975	2013-12-23	9		
Human immunodeficiency virus 1		isolate: 11MY1ZK731	11676	ASM310315v1	GCA_003103155.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8939	8939	2013-12-23	9		
Human immunodeficiency virus 1		isolate: 11MY1RJ704	11676	ASM310317v1	GCA_003103175.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8914	8914	2013-12-23	9		
Human immunodeficiency virus 1		isolate: 11MY1EP794	11676	ASM310319v1	GCA_003103195.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8902	8902	2013-12-23	9		
Human immunodeficiency virus 1		isolate: 10MYKJ036	11676	ASM310321v1	GCA_003103215.1	GenBank	Annotation submitted by Centre of Excellence for Research in AIDS (CERiA), University of Malaya	Complete Genome	8567	8567	2013-12-23	9		
Human immunodeficiency virus 1		isolate: patient B, strain: 11111583	11676	ASM310323v1	GCA_003103235.1	GenBank	Annotation submitted by Laboratoire de Virologie, CHU Charles Nicolle	Complete Genome	8781	8781	2013-11-27	9		
Human immunodeficiency virus 1		isolate: patient D, strain: 11111584	11676	ASM310325v1	GCA_003103255.1	GenBank	Annotation submitted by Laboratoire de Virologie, CHU Charles Nicolle	Complete Genome	8930	8930	2013-11-27	9		
